1;2002-03-09;Minitaladro;12;;;;;;;;
2;2002-05-30;Mando a distancia Zap4;24; ; ; ; ; ; ;;
3;2002-07-01;Game Boy Advance;99; ;upload/2015-04-11 10.24.09.png; ; ; ; ;;
4;2002-07-27;Guillotina;15; ;upload/2015-04-11 10.26.52.png; ; ; ; ;;
5;2002-08-03;Impresora Lexmark Z23;40; ;upload/lexmark.JPG; ; ; ; ;;
6;2002-08-22;Lector CD General technic;38; ; ; ; ; ; ;;
7;2002-08-29;Lector CD-MP3 Medion;53; ;upload/2015-04-11 10.23.35.png; ; ; ; ;;
8;2002-09-02;Altavoces super woofer;27; ;upload/AltavocesPhilips.jpg; ; ; ; ;;
9;2002-10-05;Palm m105;134; ;upload/2015-04-10 22.24.27.png; ; ; ; ;;
10;2003-01-22;TV Basic Line 28;270;Alcampo. Tarjeta a 3 meses; ; ; ; ; ;;
11;2003-01-22;DVD Belson BSA3500;119;Alcampo. Tarjeta a 3 meses;upload/Compras_imgAvantio000004.png; ; ; ; ;;
12;2003-02-18;Monopatin Alvaro;39;Por su santo. ; ; ; ; ; ;;
13;2003-02-22;Soporte 70CDs;16; ; ; ; ; ; ;;
14;2003-06-11;Ordenador DELL;349; ;upload/compras_imgiPad de Juan Jose000005_1.jpg;upload/compras_imgiPad de Juan Jose000041.jpg; ; ; ;;
15;2003-06-26;Grabadora Philips;66;Alcampo; ; ; ; ; ;;
16;2003-07-18;Movil TSM4;0;A cambio de los puntos obtenidos con movistar;upload/Compras_imgAvantio000031.png; ; ; ; ;;
17;2003-10-18;Renault Clio RN 1.2;1500;Km 75400. . Por arreglos que le hace Juana;upload/Compras_imgiPad de Juan Jose000009.jpg; ; ; ; ;;
18;2003-11-22;MemoryStick 128MB;54;Alcampo. Verbatim. ;upload/compras_imgiPad de Juan Jose000004_1.jpg; ; ; ; ;;
19;2003-12-16;Camara MovieCam 6000;116;Energi System;upload/digicam01.jpg;upload/digicam02.jpg; ; ; ;;
20;2004-02-02;Sofa 3 plazas (naranja);287; ;upload/2015-04-11 10.30.39.png; ; ; ; ;;
21;2004-03-06;Secure Digital 128Kb;75; ; ; ; ; ; ;;
22;2004-03-06;Telefono inalambrico Sagem;39; ;upload/2015-04-10 22.26.24.png; ; ; ; ;;
23;2004-03-08;Mini Tripode;6; ; ; ; ; ; ;;
24;2004-04-02;Desguace AX;36; ; ; ; ; ; ;;
25;2004-04-07;MP3 Neus;99; ; ; ; ; ; ;;
26;2004-05-03;GameBoy SP;120; ; ; ; ; ; ;;
27;2004-05-28;Piso;69000; ;upload/compras_imgiPad de Juan Jose000006_1.jpg; ; ; ; ;;
28;2004-06-17;Taladro Bosh;60; ; ; ; ; ; ;;
29;2004-07-10;Colchones y canapes de 80cm;336;Colchoneria Sanchez; ; ; ; ; ;;
30;2004-07-10;Fresadora TopCraf;33; ; ; ; ; ; ;;
31;2004-08-10;Teclado-raton inalambricos;52;Se lo compra Alvaro; ; ; ; ; ;;
32;2004-08-10;Movil TSM5 Josema;35; ; ; ; ; ; ;;
33;2004-09-07;Disco duro 40Gb;52;Alvaro paga 15€; ; ; ; ; ;;
34;2004-09-20;Cristobal;200;Por plato ducha; ; ; ; ; ;;
35;2004-09-30;Silla estudio ALDI;48; ;upload/2015-04-11 10.26.10.png; ; ; ; ;;
36;2004-11-23;Caña pescar Alvaro;12;La compra el con sus ahorros; ; ; ; ; ;;
37;2004-12-10;Afeitadora Remington;20;Como regalo de navidad;upload/remington_hc_5200_pro_power.jpg; ; ; ; ;;
38;2004-12-20;Licencia de pesca Alvaro;0; ; ; ; ; ; ;;
39;2004-12-24;Bicicleta Alvaro;100;Como regalo de Navidad;upload/Imagen023A.jpg; ; ; ; ;;
40;2005-01-07;Caña pescar Juanjo;8; ; ; ; ; ; ;;
41;2005-01-31;PS-2;149; ; ; ; ; ; ;;
42;2005-02-11;Grabadora DVD;50;De color negro; ; ; ; ; ;;
43;2005-02-23;Cocina Nodor;150;Cinco fuegos; ; ; ; ; ;;
44;2005-05-05;Almohada latex;12;Plus;upload/compras_imgiPad de Juan Jose000014_1.jpg; ; ; ; ;;
45;2005-05-13;Gafas graduadas 1.5;15; ;upload/compras_imgiPad de Juan Jose000007_1.jpg; ; ; ; ;;
46;2005-06-03;Peugeot 307 XR;11600;   11.600. -480  (plan prever). -----------. =11.120 €;upload/compras_imgiPad de Juan Jose000012_1.jpg;upload/Vehiculos_imgiPad de Juan Jose000004.jpg; ; ; ;;
47;2005-06-03;Telefono SonyEricsson;46; ; ; ; ; ; ;;
48;2005-06-03;Caña pescar Alvaro;20;Aldi. Caña desmontable de 2; ; ; ; ; ;;
49;2005-06-10;Esclava y pendientes Amanda;63; ; ; ; ; ; ;;
50;2005-06-22;Palm Zire 72;324;En El Corte Ingles;upload/PalmZire02.jpg;upload/Palm.jpg; ; ; ;;
51;2005-07-06;Manos libres coche;9; ; ; ; ; ; ;;
52;2005-07-09;Tensiometro de pulsera;16; ; ; ; ; ; ;;
53;2005-07-13;Bluetooth-USB;26; ;upload/compras_imgiPad de Juan Jose000008_1.jpg; ; ; ; ;;
54;2005-07-26;Cable USB-Serie;6; ; ; ; ; ; ;;
55;2005-08-02;Turmix;50; ; ; ; ; ; ;;
56;2005-08-25;PC Alvaro;240;Caja 40 (APP Informâ€¹Â¨Â«tica). Celerâ€¹Â¨Â«n 74 (Inside-PC). Placa 45. Memoria 22. Grâ€¹Â¨Â«fica 32. ;upload/compras_imgiPad de Juan Jose000011_1.jpg; ; ; ; ;;
57;2005-08-27;Reloj de bolsillo;7;En Pozoblanco. Primero de una coleccion;upload/compras_imgiPad de Juan Jose000010_1.jpg; ; ; ; ;;
58;2005-09-06;Caña pescar Juanjo;22;En Caleta de Velez (Malaga); ; ; ; ; ;;
59;2005-09-08;Aire acondicionado Clio;1600; ; ; ; ; ; ;;
60;2005-09-12;USB-SD;10; ;upload/compras_imgiPad de Juan Jose000015_1.jpg; ; ; ; ;;
61;2005-09-15;Monitor TFT 17 Juanjo;189;En Alcampo; ; ; ; ; ;;
62;2005-09-15;Monitor TFT 17 Alvaro;189;En Alcampo; ; ; ; ; ;;
63;2005-09-15;Libros Alvaro 6;124; ; ; ; ; ; ;;
64;2005-09-15;Plancha de asar Team;29; ; ; ; ; ; ;;
