1;47 Ronin;9; Keanu Reeves; La Leyenda del Samurai;OTRA
2;100 metros;8; Dani Rovira y Alexandra Jiménez;; NETFLIX
3;1917;7; (primera guerra mundial);; AMAZON
4;A traicion; 9??;; culpable de asesinato); NETFLIX
5;Abajo el amor;8; Renee Zelweger;; AMAZON
6;Adu;7; Luis Tosar y Ana Wagener;; NETFLIX
7;Aeronauts;7; (pilota de globo);; AMAZON
8;Ahora o nunca;8; Dani Rovira y Clara lago;; NETFLIX
9;Así nos va;7; Diane Keaton y Michael Douglas;; AMAZON
10;Atico sin ascensor;7; Diane Keaton y Morgan Freeman;; AMAZON
11;Bliss;5; Owen Wilson y Salma Hayec;; AMAZON
12;Bohemian rhapsody;10;;;OTRA
13;Come reza ama;4; Julia Roberts;; NETFLIX
14;Contratiempo;6; Jose Coronado y Ana Wagener;; AMAZON
15;Criminales en el mar;5; Jennifer Aniston y Adam Sandler;;OTRA
16;Dancing queens;7;;; NETFLIX
17;Después de la boda;5; Julianne Moore;; AMAZON
18;Dioses y perros;7;  Hugo Silva;; NETFLIX
19;Dire tu nombre;5; J Bardem y Ch Teron;; AMAZON
20;Downton abbey;7; Maggi Smith;; AMAZON
21;El amor de Silvie (Sylvie's love);6; (Jazz años 60);; AMAZON
22;El hombre que conocia el infinito; 9??; Dev Patel;;AMAZON
23;El irlandes;6; D Hofman (mafia);;OTRA
24;El médico;8; Noah Gordon;; AMAZON
25;El médico africano;7;;; NETFLIX
26;El mejor verano de mi vida;6; Leo Harlem y Tony Acosta;;OTRA
27;El pregon;5; Buenafuente y Berto;; AMAZON
28;El velo pintado;9; Naomi Watts y Edward Norte;; NETFLIX
29;El verano de sus vidas;7; Morgan Freeman;; AMAZON
30;El verano que vivimos;4; con Blanca Suárez;; AMAZON
31;El viaje de nuestra vida;5; Jessica Lange y Kathy Bates;; AMAZON
32;El viaje de sus vidas;6; Donald Sutherland y Helen Mirren;; AMAZON
33;Esperando al rey;6;  Tom  Hanks;; AMAZON
34;Eternamente comprometidos;;;;OTRA
35;Explota explota;7;;; AMAZON
36;Fuera de carta;6;Javier Cámara, Fer Tejero, Maria Dueñas, Alexandra Jiménez;; NETFLIX
37;Gosford park;7; Maggi Smith;; AMAZON
38;Gru 2. Mi villano favorito;7; animación;;OTRA
39;Hasta los huesos;8; Keanu Reeves; anorexia; NETFLIX
40;Héroes en el infierno (only the braves);7;;; NETFLIX
41;Historias lamentables;5; de Javier Fesser;; AMAZON
42;I care a lot;5;;; AMAZON
43;Invisibles;5; Richard Gere;; AMAZON
44;Kiki el amor se hace;7; Paco León y Natalia de Molina;; NETFLIX
45;La cita navideña de papa;4;;; AMAZON
46;La corona partida;6; Rodolfo Sancho y José Coronado;; AMAZON
47;La escuela de la vida;7;;; AMAZON
48;La excavacion;9; Carey Mulligan y Ralph Fiennes;; NETFLIX
49;La mejor receta;6; (panadero judio);; AMAZON
50;La mirada del amor;5; Annette Benina y Ed Harris;; AMAZON
51;La reina del desierto;8; Nicol Kidman;; AMAZON
52;Life or something like it;6; Angelina Jolie;; AMAZON
53;Lion, un camino a casa;8; Dev Patel;; AMAZON
54;Lo dejo cuando quiera;7;;;OTRA
55;Lo imposible;7; Naomi Watts y Ewan McGregor;; NETFLIX
56;Lo nunca visto;4; Carmen Machi y Pepon Nieto;; NETFLIX
